study;condition_arm1;condition_arm2;multi_arm1;multi_arm2;outcome_domain;outcome_type;instrument;time;time_weeks;rating;baseline_m_arm1;baseline_m_arm2;baseline_sd_arm1;baseline_sd_arm2;mean_arm1;mean_arm2;sd_arm1;sd_arm2;n_arm1;n_arm2;m_change_arm1;m_change_arm2;sd_change_arm1;sd_change_arm2;n_change_arm1;n_change_arm2;event_arm1;event_arm2;totaln_arm1;totaln_arm2;precalc_g;precalc_g_se;precalc_log_rr;precalc_log_rr_se;.id;.g;.g_se;.log_rr;.log_rr_se;outcome_hierachy;rob_domain1;rob_domain2;rob_domain3;rob_domain4;rob_domain5;rob_overall;protocol;country;recruitment;incentive;specify_incentive;target_group;manual;program_name;guidance;setting_arm1;setting_arm2;internet_based;no_sessions_arm1;no_sessions_arm2;time_total_arm1;time_total_arm2;duration_therapy_arm1;duration_therapy_arm2;sessions_weekly_arm1;sessions_weekly_arm2;duration_session_arm1;duration_session_arm2;ave_modules_completed_arm1;ave_modules_completed_arm2;sd_modules_completed_arm1;sd_modules_completed_arm2;prop_modules_completed_arm1;m_age_arm1;m_age_arm2;sd_age_arm1;sd_age_arm2;female_arm1;female_arm2;female_total;prop_female_total;n_allocation_arm1;n_allocation_arm2;n_total_allocation;n_start_arm1;n_start_arm2;n_total_start;n_comp_arm1;n_comp_arm2;n_total_comp;reasons_partref;reasons_treatref;reasons_preterm;diagnosis_how;diagnosis_which;m_no_symptoms_arm1;m_no_symptoms_arm2;sd_no_symptoms_arm1;sd_no_symptoms_arm2;m_duration_symptoms_arm1;m_duration_symptoms_arm2;sd_duration_symptoms_arm1;sd_duration_symptoms_arm2;comorbidities_ex;specify_comorbidities_ex;consumer_satis;specify_consumer_satis;neg_eff;specify_neg_eff
friedberg, 2013;cbt;att plac;cbt;att plac;depr;msd;bdi;follow up;50;self-report;17,1;16,41;8,82;9,55;14,89;14,56;11,31;11,71;37;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2013_msd_bdi_followup_50.0_self-report_cbt_attplac_cbt_attplac;0,028364115;0,230972493;NA;NA;primary;low;low;low;low;some concerns;some concerns;NA;us;clinical;yes;candidates were offered up to $420 as compensation for full participation in the study;adults;yes;fsm;para;individual;NA;no;2;NA;120;NA;14;NA;0,14;NA;60;NA;NA;NA;NA;NA;NA;42,47;42,49;15,45;12,1;29;29;58;0,77;37;38;75;NA;NA;NA;NA;NA;NA;NA;NA;too much work to do in study, didn't feel that the type of treatment was appropriate, no longer interested, and “unknown” for those who did not return phone calls (the largest category).;clinical interview;cfs/me;NA;NA;NA;NA;140,04;107,16;109,32;89,4;yes;psychiatric exclusions were as follows: any psychosis or dementia, alcohol or substance abuse in the 2 years before illness onset and at any time afterward, current or past depression with melancholic or psychotic features within 5 years of illness onset or within 5 years of evaluation, and present or past anorexia nervosa or bulimia nervosa;no;NA;no;NA
friedberg, 2013;cbt;tau;cbt;tau;depr;msd;bdi;follow up;50;self-report;17,1;18,31;8,82;8,64;14,89;14,03;11,31;11,16;37;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2013_msd_bdi_followup_50.0_self-report_cbt_tau_cbt_tau;0,075726253;0,23418994;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $420 as compensation for full participation in the study;adults;yes;fsm;para;individual;NA;no;2;NA;120;NA;14;NA;0,14;NA;60;NA;NA;NA;NA;NA;NA;42,47;43,64;15,45;13,34;29;28;57;0,76;37;38;75;NA;NA;NA;NA;NA;NA;NA;NA;too much work to do in study, didn't feel that the type of treatment was appropriate, no longer interested, and “unknown” for those who did not return phone calls (the largest category).;clinical interview;cfs/me;NA;NA;NA;NA;140,04;117,72;109,32;100,44;yes;psychiatric exclusions were as follows: any psychosis or dementia, alcohol or substance abuse in the 2 years before illness onset and at any time afterward, current or past depression with melancholic or psychotic features within 5 years of illness onset or within 5 years of evaluation, and present or past anorexia nervosa or bulimia nervosa;no;NA;no;NA
friedberg, 2013;cbt;att plac;cbt;att plac;anx;msd;bai;post;14;self-report;11,97;14,91;8,94;9;10,98;14,49;9,73;10,49;37;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2013_msd_bai_post_14.0_self-report_cbt_attplac_cbt_attplac;-0,343182964;0,232689542;NA;NA;primary;low;low;low;low;some concerns;some concerns;NA;us;clinical;yes;candidates were offered up to $420 as compensation for full participation in the study;adults;yes;fsm;para;individual;NA;no;2;NA;120;NA;14;NA;0,14;NA;60;NA;NA;NA;NA;NA;NA;42,47;42,49;15,45;12,1;29;29;58;0,77;37;38;75;NA;NA;NA;NA;NA;NA;NA;NA;too much work to do in study, didn't feel that the type of treatment was appropriate, no longer interested, and “unknown” for those who did not return phone calls (the largest category).;clinical interview;cfs/me;NA;NA;NA;NA;140,04;107,16;109,32;89,4;yes;psychiatric exclusions were as follows: any psychosis or dementia, alcohol or substance abuse in the 2 years before illness onset and at any time afterward, current or past depression with melancholic or psychotic features within 5 years of illness onset or within 5 years of evaluation, and present or past anorexia nervosa or bulimia nervosa;no;NA;no;NA
friedberg, 2013;cbt;tau;cbt;tau;anx;msd;bai;post;14;self-report;11,97;14,99;8,94;8,76;10,98;14,5;9,73;9,9;37;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2013_msd_bai_post_14.0_self-report_cbt_tau_cbt_tau;-0,354862939;0,235978611;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $420 as compensation for full participation in the study;adults;yes;fsm;para;individual;NA;no;2;NA;120;NA;14;NA;0,14;NA;60;NA;NA;NA;NA;NA;NA;42,47;43,64;15,45;13,34;29;28;57;0,76;37;38;75;NA;NA;NA;NA;NA;NA;NA;NA;too much work to do in study, didn't feel that the type of treatment was appropriate, no longer interested, and “unknown” for those who did not return phone calls (the largest category).;clinical interview;cfs/me;NA;NA;NA;NA;140,04;117,72;109,32;100,44;yes;psychiatric exclusions were as follows: any psychosis or dementia, alcohol or substance abuse in the 2 years before illness onset and at any time afterward, current or past depression with melancholic or psychotic features within 5 years of illness onset or within 5 years of evaluation, and present or past anorexia nervosa or bulimia nervosa;no;NA;no;NA
friedberg, 2013;cbt;att plac;cbt;att plac;anx;msd;bai;follow up;50;self-report;11,97;14,91;8,94;9;12,02;13,88;11,5;11,47;37;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2013_msd_bai_followup_50.0_self-report_cbt_attplac_cbt_attplac;-0,16028351;0,231338875;NA;NA;primary;low;low;low;low;some concerns;some concerns;NA;us;clinical;yes;candidates were offered up to $420 as compensation for full participation in the study;adults;yes;fsm;para;individual;NA;no;2;NA;120;NA;14;NA;0,14;NA;60;NA;NA;NA;NA;NA;NA;42,47;42,49;15,45;12,1;29;29;58;0,77;37;38;75;NA;NA;NA;NA;NA;NA;NA;NA;too much work to do in study, didn't feel that the type of treatment was appropriate, no longer interested, and “unknown” for those who did not return phone calls (the largest category).;clinical interview;cfs/me;NA;NA;NA;NA;140,04;107,16;109,32;89,4;yes;psychiatric exclusions were as follows: any psychosis or dementia, alcohol or substance abuse in the 2 years before illness onset and at any time afterward, current or past depression with melancholic or psychotic features within 5 years of illness onset or within 5 years of evaluation, and present or past anorexia nervosa or bulimia nervosa;no;NA;no;NA
friedberg, 2013;cbt;tau;cbt;tau;anx;msd;bai;follow up;50;self-report;11,97;14,99;8,94;8,76;12,02;14,39;11,5;13,38;37;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2013_msd_bai_followup_50.0_self-report_cbt_tau_cbt_tau;-0,188158267;0,234632732;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $420 as compensation for full participation in the study;adults;yes;fsm;para;individual;NA;no;2;NA;120;NA;14;NA;0,14;NA;60;NA;NA;NA;NA;NA;NA;42,47;43,64;15,45;13,34;29;28;57;0,76;37;38;75;NA;NA;NA;NA;NA;NA;NA;NA;too much work to do in study, didn't feel that the type of treatment was appropriate, no longer interested, and “unknown” for those who did not return phone calls (the largest category).;clinical interview;cfs/me;NA;NA;NA;NA;140,04;117,72;109,32;100,44;yes;psychiatric exclusions were as follows: any psychosis or dementia, alcohol or substance abuse in the 2 years before illness onset and at any time afterward, current or past depression with melancholic or psychotic features within 5 years of illness onset or within 5 years of evaluation, and present or past anorexia nervosa or bulimia nervosa;no;NA;no;NA
friedberg, 2013;cbt;att plac;cbt;att plac;phs;msd;sf-36;post;14;self-report;68,49;67,07;24,7;22,93;74,82;67,07;24,39;22,93;37;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2013_msd_sf-36_post_14.0_self-report_cbt_attplac_cbt_attplac;0,324162897;0,23250383;NA;NA;primary;low;low;low;low;some concerns;some concerns;NA;us;clinical;yes;candidates were offered up to $420 as compensation for full participation in the study;adults;yes;fsm;para;individual;NA;no;2;NA;120;NA;14;NA;0,14;NA;60;NA;NA;NA;NA;NA;NA;42,47;42,49;15,45;12,1;29;29;58;0,77;37;38;75;NA;NA;NA;NA;NA;NA;NA;NA;too much work to do in study, didn't feel that the type of treatment was appropriate, no longer interested, and “unknown” for those who did not return phone calls (the largest category).;clinical interview;cfs/me;NA;NA;NA;NA;140,04;107,16;109,32;89,4;yes;psychiatric exclusions were as follows: any psychosis or dementia, alcohol or substance abuse in the 2 years before illness onset and at any time afterward, current or past depression with melancholic or psychotic features within 5 years of illness onset or within 5 years of evaluation, and present or past anorexia nervosa or bulimia nervosa;no;NA;no;NA
friedberg, 2013;cbt;tau;cbt;tau;phs;msd;sf-36;post;14;self-report;68,49;59,77;24,7;24,04;74,82;64,92;24,39;22,02;37;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2013_msd_sf-36_post_14.0_self-report_cbt_tau_cbt_tau;0,421258182;0,236741333;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $420 as compensation for full participation in the study;adults;yes;fsm;para;individual;NA;no;2;NA;120;NA;14;NA;0,14;NA;60;NA;NA;NA;NA;NA;NA;42,47;43,64;15,45;13,34;29;28;57;0,76;37;38;75;NA;NA;NA;NA;NA;NA;NA;NA;too much work to do in study, didn't feel that the type of treatment was appropriate, no longer interested, and “unknown” for those who did not return phone calls (the largest category).;clinical interview;cfs/me;NA;NA;NA;NA;140,04;117,72;109,32;100,44;yes;psychiatric exclusions were as follows: any psychosis or dementia, alcohol or substance abuse in the 2 years before illness onset and at any time afterward, current or past depression with melancholic or psychotic features within 5 years of illness onset or within 5 years of evaluation, and present or past anorexia nervosa or bulimia nervosa;no;NA;no;NA
friedberg, 2013;cbt;att plac;cbt;att plac;phs;msd;sf-36;follow up;50;self-report;68,49;67,07;24,7;22,93;66,3;65,96;29,74;26,14;37;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2013_msd_sf-36_followup_50.0_self-report_cbt_attplac_cbt_attplac;0,012029142;0,230962771;NA;NA;primary;low;low;low;low;some concerns;some concerns;NA;us;clinical;yes;candidates were offered up to $420 as compensation for full participation in the study;adults;yes;fsm;para;individual;NA;no;2;NA;120;NA;14;NA;0,14;NA;60;NA;NA;NA;NA;NA;NA;42,47;42,49;15,45;12,1;29;29;58;0,77;37;38;75;NA;NA;NA;NA;NA;NA;NA;NA;too much work to do in study, didn't feel that the type of treatment was appropriate, no longer interested, and “unknown” for those who did not return phone calls (the largest category).;clinical interview;cfs/me;NA;NA;NA;NA;140,04;107,16;109,32;89,4;yes;psychiatric exclusions were as follows: any psychosis or dementia, alcohol or substance abuse in the 2 years before illness onset and at any time afterward, current or past depression with melancholic or psychotic features within 5 years of illness onset or within 5 years of evaluation, and present or past anorexia nervosa or bulimia nervosa;no;NA;no;NA
friedberg, 2013;cbt;tau;cbt;tau;phs;msd;sf-36;follow up;50;self-report;68,49;59,77;24,7;24,04;66,3;56,44;29,74;25,26;37;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2013_msd_sf-36_followup_50.0_self-report_cbt_tau_cbt_tau;0,353171331;0,235960854;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $420 as compensation for full participation in the study;adults;yes;fsm;para;individual;NA;no;2;NA;120;NA;14;NA;0,14;NA;60;NA;NA;NA;NA;NA;NA;42,47;43,64;15,45;13,34;29;28;57;0,76;37;38;75;NA;NA;NA;NA;NA;NA;NA;NA;too much work to do in study, didn't feel that the type of treatment was appropriate, no longer interested, and “unknown” for those who did not return phone calls (the largest category).;clinical interview;cfs/me;NA;NA;NA;NA;140,04;117,72;109,32;100,44;yes;psychiatric exclusions were as follows: any psychosis or dementia, alcohol or substance abuse in the 2 years before illness onset and at any time afterward, current or past depression with melancholic or psychotic features within 5 years of illness onset or within 5 years of evaluation, and present or past anorexia nervosa or bulimia nervosa;no;NA;no;NA
friedberg, 2016;cbt;tau;digital;tau;depr;msd;bdi;post;12;self-report;16,65;20,38;10,63;10,6;14,4;19,36;10,44;10,4;40;45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_bdi_post_12.0_self-report_cbt_tau_digital_tau;-0,471747089;0,220352828;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48,01;50,03;12,43;11,28;38;42;80;0,86;45;48;93;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;150,84;207,12;101,88;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
friedberg, 2016;cbt;tau;pnp;tau;depr;msd;bdi;post;12;self-report;20,4;20,38;10,63;10,6;14,98;19,36;10,44;10,4;40;45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_bdi_post_12.0_self-report_cbt_tau_pnp_tau;-0,416583115;0,219685716;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46,99;50,03;10,79;11,28;41;42;83;0,9;44;48;92;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;164,52;207,12;83,76;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
friedberg, 2016;cbt;tau;digital;tau;depr;msd;bdi;follow up;48;self-report;16,65;20,38;10,63;10,6;13,08;18,64;9,36;9,32;40;45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_bdi_followup_48.0_self-report_cbt_tau_digital_tau;-0,589968465;0,222052414;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48,01;50,03;12,43;11,28;38;42;80;0,86;45;48;93;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;150,84;207,12;101,88;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
friedberg, 2016;cbt;tau;pnp;tau;depr;msd;bdi;follow up;48;self-report;20,4;20,38;10,63;10,6;14,42;18,64;9,36;9,32;40;45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_bdi_followup_48.0_self-report_cbt_tau_pnp_tau;-0,447781821;0,220053081;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46,99;50,03;10,79;11,28;41;42;83;0,9;44;48;92;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;164,52;207,12;83,76;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
friedberg, 2016;cbt;tau;digital;tau;anx;msd;bai;post;12;self-report;16,49;18,84;10,3;10,3;16;17,77;9,8;9,84;41;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_bai_post_12.0_self-report_cbt_tau_digital_tau;-0,178627547;0,215211621;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48,01;50,03;12,43;11,28;38;42;80;0,86;45;48;93;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;150,84;207,12;101,88;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
friedberg, 2016;cbt;tau;pnp;tau;anx;msd;bai;post;12;self-report;18,69;18,84;10,3;10,3;16,23;9,8;16,92;10,3;40;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_bai_post_12.0_self-report_cbt_tau_pnp_tau;0,462605046;0,219102541;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46,99;50,03;10,79;11,28;41;42;83;0,9;44;48;92;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;164,52;207,12;83,76;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
friedberg, 2016;cbt;tau;digital;tau;anx;msd;bai;follow up;48;self-report;16,49;18,84;10,3;10,3;14,67;18,3;10,3;10,3;41;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_bai_followup_48.0_self-report_cbt_tau_digital_tau;-0,34930836;0,21643289;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48,01;50,03;12,43;11,28;38;42;80;0,86;45;48;93;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;150,84;207,12;101,88;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
friedberg, 2016;cbt;tau;pnp;tau;anx;msd;bai;follow up;48;self-report;18,69;18,84;10,3;10,3;16,92;18,3;10,3;10,3;40;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_bai_followup_48.0_self-report_cbt_tau_pnp_tau;-0,132780756;0,216433582;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46,99;50,03;10,79;11,28;41;42;83;0,9;44;48;92;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;164,52;207,12;83,76;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
friedberg, 2016;cbt;tau;digital;tau;phs;msd;sf-36;post;12;self-report;37,75;45,77;20,24;20,26;43,25;37,62;21;21;41;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_sf-36_post_12.0_self-report_cbt_tau_digital_tau;0,265722714;0,215736991;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48,01;50,03;12,43;11,28;38;42;80;0,86;45;48;93;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;150,84;207,12;101,88;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
friedberg, 2016;cbt;tau;pnp;tau;phs;msd;sf-36;post;12;self-report;37,75;45,77;20,24;20,26;43,75;37,62;21;21;40;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_sf-36_post_12.0_self-report_cbt_tau_pnp_tau;0,289290689;0,217335059;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46,99;50,03;10,79;11,28;41;42;83;0,9;44;48;92;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;164,52;207,12;83,76;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
friedberg, 2016;cbt;tau;digital;tau;phs;msd;sf-36;follow up;48;self-report;37,75;45,77;20,24;20,26;46,5;44,07;23,27;23,28;41;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_sf-36_followup_48.0_self-report_cbt_tau_digital_tau;0,103478629;0,214923283;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48,01;50,03;12,43;11,28;38;42;80;0,86;45;48;93;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;150,84;207,12;101,88;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
friedberg, 2016;cbt;tau;pnp;tau;phs;msd;sf-36;follow up;48;self-report;37,75;45,77;20,24;20,26;45,75;44,07;23,27;23,28;40;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;friedberg_2016_msd_sf-36_followup_48.0_self-report_cbt_tau_pnp_tau;0,07153296;0,216262388;NA;NA;primary;low;low;low;high;some concerns;high;NA;us;clinical;yes;candidates were offered up to $678 as compensation for full participation in the study;adults;yes;"friedberg f. chronic fatigue syndrome, fibromyalgia, and related illnesses: a clinical model of assessment and intervention. j clin psychol. 2010;6:641–665.";self-guided;individual;NA;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46,99;50,03;10,79;11,28;41;42;83;0,9;44;48;92;41;48;89;41;48;89;(e.g. unable to access web diary, inability to begin treatment in a timely manner), fear of energy drain from doing study activities, or unknown reasons;NA;NA;combined;cfs/me;NA;NA;NA;NA;164,52;207,12;83,76;127,8;yes;exclusionary psychiatric disorders included any self-reported psychosis, substance or alcohol abuse in the two years prior to illness onset or at any time afterward, or current or past depression with melancholic or psychotic features within the five years prior to illness onset or any time afterward;no;NA;no;NA
